x_m,z_m
0,0
-0.0004,0
-0.0008,0
-0.000999,-0.00017
-0.000995,-0.000509
-0.000988,-0.000841
-0.000977,-0.001166
-0.000959,-0.001565
-0.000935,-0.001963
-0.000906,-0.002369
-0.000872,-0.002762
-0.000834,-0.00315
-0.000791,-0.003535
-0.000742,-0.003921
-0.000689,-0.004307
-0.000631,-0.004691
-0.000568,-0.005073
-0.0005,-0.005453
-0.000428,-0.005831
-0.000351,-0.006206
-0.00027,-0.006578
-0.000184,-0.006948
-0.000094,-0.007316
0.000005,-0.0077
0.00011,-0.008083
0.000219,-0.008465
0.000334,-0.008846
0.000454,-0.009224
0.000578,-0.009601
0.000708,-0.009976
0.000842,-0.01035
0.000982,-0.010721
0.001126,-0.011091
0.001275,-0.011459
0.001429,-0.011825
0.001588,-0.012189
0.001752,-0.012551
0.00192,-0.01291
0.002094,-0.013268
0.002272,-0.013623
0.002454,-0.013976
0.002642,-0.014326
0.002834,-0.014674
0.00303,-0.015019
0.003231,-0.015362
0.003437,-0.015701
0.003647,-0.016038
0.003861,-0.016372
0.00408,-0.016703
0.004303,-0.017031
0.00453,-0.017356
0.004762,-0.017678
0.004998,-0.017997
0.005238,-0.018312
0.005482,-0.018625
0.00573,-0.018934
0.005982,-0.01924
0.006239,-0.019542
0.006499,-0.019842
0.006763,-0.020137
0.007032,-0.02043
0.007304,-0.020719
0.00758,-0.021004
0.007859,-0.021285
0.008143,-0.021563
0.00843,-0.021838
0.008721,-0.022108
0.009016,-0.022375
0.009314,-0.022638
0.009615,-0.022896
0.00992,-0.023151
0.010229,-0.023402
0.01054,-0.023648
0.010855,-0.023891
0.011174,-0.024129
0.011495,-0.024363
0.01182,-0.024593
0.012147,-0.024819
0.012477,-0.02504
0.01281,-0.025256
0.013141,-0.025465
0.01347,-0.025667
0.013802,-0.025865
0.014136,-0.026059
0.014474,-0.026249
0.014815,-0.026435
0.015158,-0.026616
0.015504,-0.026793
0.015853,-0.026966
0.016204,-0.027135
0.016559,-0.027299
0.016916,-0.027459
0.017277,-0.027615
0.01764,-0.027766
0.018007,-0.027913
0.018376,-0.028056
0.018749,-0.028194
0.019124,-0.028328
0.019426,-0.028432
0.01973,-0.028532
0.020104,-0.028653
0.020478,-0.028775
0.020852,-0.028896
0.021226,-0.029018
0.0216,-0.029139
0.021973,-0.029261
0.022347,-0.029382
0.022721,-0.029504
0.023095,-0.029625
0.023469,-0.029747
0.023843,-0.029868
0.024217,-0.02999
0.024591,-0.030111
0.024965,-0.030233
0.025339,-0.030354
0.025713,-0.030476
0.026087,-0.030597
0.026461,-0.030719
0.026835,-0.03084
0.027209,-0.030962
0.027583,-0.031083
0.027957,-0.031205
0.028331,-0.031327
0.028705,-0.031448
0.029079,-0.03157
0.029452,-0.031691
0.029826,-0.031813
0.0302,-0.031934
0.030574,-0.032056
0.030948,-0.032177
0.031322,-0.032299
0.031696,-0.03242
0.03207,-0.032542
0.032444,-0.032663
0.032818,-0.032785
0.033192,-0.032906
0.033566,-0.033028
0.03394,-0.033149
0.034314,-0.033271
0.034688,-0.033392
0.035062,-0.033514
0.035436,-0.033635
0.03581,-0.033757
0.036184,-0.033878
0.036558,-0.034
0.036932,-0.034121
0.037306,-0.034243
0.03768,-0.034364
0.038054,-0.034486
0.038428,-0.034608
0.038802,-0.034729
0.039176,-0.034851
0.039551,-0.034972
0.039925,-0.035094
0.040299,-0.035215
0.040673,-0.035337
0.041047,-0.035458
0.041421,-0.03558
0.041795,-0.035701
0.042169,-0.035823
0.042543,-0.035944
0.042917,-0.036066
0.043291,-0.036187
0.043665,-0.036309
0.044039,-0.036431
0.044413,-0.036552
0.044787,-0.036674
0.045161,-0.036795
0.045536,-0.036917
0.04591,-0.037038
0.046284,-0.03716
0.046658,-0.037281
0.047032,-0.037403
0.047406,-0.037524
0.04778,-0.037646
0.048154,-0.037768
0.048528,-0.037889
0.048902,-0.038011
0.049277,-0.038132
0.049651,-0.038254
0.049838,-0.038315
0.050025,-0.038375
2.519,-0.840594
3.599,-1.031027
3.599,0
0,0
