case,idx,x_m,span_m,x_over_c,y_over_b,q_flat,q_cap,q_final_current,selected_branch,q_flat_over_q_cap,Re_x_star_lam,x_eff_m,Rn_local_m,q_fluent,p_fluent,p_e,q_ratio_current,q_cap_only,q_min_cap,q_simple_blend,w_tr
ma6_a5_h30km,0,-0.0008012069080764706,0.0,0.0,0.0,304919.40704645036,745423.9212494486,745222.7326097641,cap,0.4090550334571463,14930.439700948431,-0.0008012069080764706,0.03,101203.2383,4554.581318,4176.663418871034,7.363625365432245,745423.9212494486,304919.40704645036,745417.6374238626,0.0
ma6_a5_h30km,1,0.04419630817827449,0.0,0.0125,0.0,150305.61131978803,745423.9212494486,150305.61131978803,cap,0.20163776213118037,62195.508483075086,0.04419630817827449,0.03,69892.309,3652.497783,4211.941155970682,2.150531488661908,745423.9212494486,150305.61131978803,720144.264322721,0.0
ma6_a5_h30km,2,0.08919382326462545,0.0,0.025,0.0,108751.99170873128,745423.9212494486,108751.99170873128,cap,0.1458928116050337,132763.33230808875,0.08919382326462545,0.03,59577.17799,3154.783552,4549.344838175583,1.8253968277414088,745423.9212494486,108751.99170873128,642255.0284767889,0.0
ma6_a5_h30km,3,0.13419133835097644,0.0,0.037500000000000006,0.0,88187.6014504866,745423.9212494486,88187.6014504866,cap,0.11830530109990328,195955.06203481596,0.13419133835097644,0.03,53749.39597,2985.07527,4455.97395893922,1.6407179998768386,745423.9212494486,88187.6014504866,528674.6693305396,0.0
ma6_a5_h30km,81,0.013652222727272725,0.025775674999999998,0.0,0.025,305533.3919144358,740808.2488747629,740608.3059971473,cap,0.4124324916447949,14870.493040774985,0.013652222727272725,0.030375,86059.45977,3912.437683,4176.663418871034,8.60577451887887,740808.2488747629,305533.3919144358,739009.1347344995,0.0
ma6_a5_h30km,82,0.05846906994318182,0.025775674999999998,0.0125,0.025,155307.32098883518,740808.2488747629,155307.32098883518,cap,0.2096457770613872,58003.643408394084,0.05846906994318182,0.030375,68825.14216,3515.945655,4199.37934140972,2.256549221907705,740808.2488747629,155307.32098883518,697975.5650844367,0.0
ma6_a5_h30km,83,0.10328591715909091,0.025775674999999998,0.025,0.025,115004.51562875707,740808.2488747629,115004.51562875707,cap,0.15524194797161217,123798.33028094955,0.10328591715909091,0.030375,57458.2533,3090.021192,4683.5158015148945,2.0015317038667635,740808.2488747629,115004.51562875707,608725.505286644,0.0
ma6_a5_h30km,84,0.14810276437500003,0.025775674999999998,0.037500000000000006,0.025,92317.11328254017,740808.2488747629,92317.11328254017,cap,0.1246167458620548,184499.59586234036,0.14810276437500003,0.030375,53097.18636,2982.306591,4553.760657516317,1.7386441657497305,740808.2488747629,92317.11328254017,490621.5316190968,0.0
ma6_a5_h30km,162,0.09057761560901698,0.051551349999999996,0.0,0.05,308864.780531633,736277.2690686733,166524.86835205034,cap,0.4194952003914505,14551.439328117574,0.09057761560901698,0.03075,99136.84356,4113.118169,4176.663418871034,1.6797475325232187,736277.2690686733,308864.780531633,665043.1650965121,0.0
ma6_a5_h30km,163,0.13443289541390427,0.051551349999999996,0.0125,0.05,158810.27054692133,736277.2690686733,158810.27054692133,cap,0.21569356710930723,55146.00157433835,0.13443289541390427,0.03075,47745.62343,2301.014117,4182.193010512579,3.3261744038121845,736277.2690686733,158810.27054692133,545277.3838879408,0.0
ma8_a5_h30km,0,-0.0008012069080764706,0.0,0.0,0.0,842031.3792255874,1844846.9637962552,1844349.0427603293,cap,0.45642343010007047,17311.742607369757,-0.0008012069080764706,0.03,236631.0495,7497.671117,6514.479048231024,7.794197112582765,1844846.9637962552,842031.3792255874,1844832.658566626,0.0
ma8_a5_h30km,1,0.04419630817827449,0.0,0.0125,0.0,415202.8997927641,1844846.9637962552,415202.8997927641,cap,0.2250608901121942,72206.43277418529,0.04419630817827449,0.03,159050.7005,5593.04424,6577.1950252970655,2.6105065773838834,1844846.9637962552,415202.8997927641,1784118.0114815258,0.0
ma8_a5_h30km,2,0.08919382326462545,0.0,0.025,0.0,301276.4492277804,1844846.9637962552,301276.4492277804,cap,0.1633070141535346,155855.76245589092,0.08919382326462545,0.03,129424.9687,4585.638286,7177.023793661334,2.327807781249094,1844846.9637962552,301276.4492277804,1594720.5587897822,0.0
ma8_a5_h30km,3,0.13419133835097644,0.0,0.037500000000000006,0.0,244124.33011448826,1844846.9637962552,244124.33011448826,cap,0.1323276862012113,229369.81359246076,0.13419133835097644,0.03,113579.6155,4204.130291,7011.031119463355,2.1493674638693268,1844846.9637962552,244124.33011448826,1316946.3853767354,0.0
ma8_a5_h30km,81,0.013652222727272725,0.025775674999999998,0.0,0.025,843726.8912634114,1833423.6529477863,1832928.8150438943,cap,0.4601919964907531,17242.234865342023,0.013652222727272725,0.030375,203242.6511,6275.6091,6514.479048231024,9.018426029790627,1833423.6529477863,843726.8912634114,1829332.9562074472,0.0
ma8_a5_h30km,82,0.05846906994318182,0.025775674999999998,0.0125,0.025,428969.92150371324,1833423.6529477863,428969.92150371324,cap,0.23397206685645927,67309.72279135125,0.05846906994318182,0.030375,152987.8141,5301.151969,6554.862910522021,2.8039483015511184,1833423.6529477863,428969.92150371324,1730679.9685025793,0.0
ma8_a5_h30km,83,0.10328591715909091,0.025775674999999998,0.025,0.025,318922.88479479076,1833423.6529477863,318922.88479479076,cap,0.17394936750271833,145912.31585353994,0.10328591715909091,0.030375,123762.2661,4447.152418,7415.549950708999,2.5768992023554325,1833423.6529477863,318922.88479479076,1513771.6502561932,0.0
ma8_a5_h30km,84,0.14810276437500003,0.025775674999999998,0.037500000000000006,0.025,255755.61874748496,1833423.6529477863,255755.61874748496,cap,0.13949619245736247,216620.08441947185,0.14810276437500003,0.030375,111191.3733,4170.489084,7184.874139155973,2.300139040979764,1833423.6529477863,255755.61874748496,1224762.1543826438,0.0
ma8_a5_h30km,162,0.09057761560901698,0.051551349999999996,0.0,0.05,852926.4819987024,1822209.947430695,412131.79375960154,cap,0.4680725638674751,16872.294270015824,0.09057761560901698,0.03075,211163.2544,6124.467743,6514.479048231024,1.9517211691524372,1822209.947430695,852926.4819987024,1660665.675780112,0.0
ma8_a5_h30km,163,0.13443289541390427,0.051551349999999996,0.0125,0.05,438575.3446862283,1822209.947430695,438575.3446862283,cap,0.24068321287819602,63954.16302066327,0.13443289541390427,0.03075,98872.65162,3218.947949,6524.30943337155,4.435759914397938,1822209.947430695,438575.3446862283,1364566.3921577663,0.0
