case_id,region,q_ratio_v2,q_fluent_over_lam,q_fluent_over_turb,w_tr_mean,re_edge_mean,re_edge_min,re_edge_max
ma6_a5_h30km,true_nose_cap,2.3545684555196558,0.7878954774405951,0.4828489785666485,0.0,78708.44054513845,36640.01622275355,469010.42878877005
ma6_a5_h30km,leading_edge_near,0.4975104505122761,5.449974423595552,1.0480824308329109,0.19281914893617022,699248.4171645211,20070.585956843493,5214629.330990666
ma6_a5_h30km,aft_body,1.563875634211754,4.865143023401406,0.6483100734239285,1.0,6612657.844480725,3434498.1668718182,9295434.590715446
ma6_a5_h30km,windward_body,2.0208090060297774,2.5733326884582226,0.4772154104953194,0.8844169246646026,2449917.1867518607,432880.37458225497,6197974.179428606
ma8_a5_h30km,true_nose_cap,2.4591096653345303,0.7204921498658978,0.43814604719972466,0.0,96117.71309642994,44550.32498510623,578365.1633478496
ma8_a5_h30km,leading_edge_near,0.6049559876856787,5.074346577400879,0.9550447192420937,0.20687689969604864,848006.6801660736,24403.677159499086,6299017.224292493
ma8_a5_h30km,aft_body,1.8814065927757007,4.178158895706422,0.5423410023308266,1.0,8017159.032721483,4092821.643156161,11299326.002513781
ma8_a5_h30km,windward_body,2.548046282437446,2.155982084133843,0.38887377426658193,0.9029927760577915,2967671.855781506,534351.8902121576,7555161.519986627
ma8_a10_h50km,true_nose_cap,2.726327709021395,0.6082228823277069,0.7599987998107612,0.0,1922.0963550699266,973.825472193599,10236.32114387942
ma8_a10_h50km,leading_edge_near,0.36983814445744784,3.3661072816515074,1.3094362645617026,0.0,16331.43729114295,503.3100856064237,122595.62558157719
ma8_a10_h50km,aft_body,0.4236668482032188,2.8918755938808585,0.758358632117485,0.08116385911179173,148549.80827806855,85157.63765619876,213463.60516933908
ma8_a10_h50km,windward_body,0.6302089823598239,1.768029700610913,0.6551144292091811,0.0,63506.760475731004,8902.497086807849,141304.12971393173
