case_id,region,count,q_fluent_mean,q_v2_mean,q_ratio_v2,q_lam_mean,q_turb_mean,q_fluent_over_lam,q_fluent_over_turb,q_v2_over_lam,q_v2_over_turb,w_tr_mean,w_tr_min,w_tr_max,w_tr_0_frac,w_tr_1_frac,w_tr_01_frac,re_edge_mean,re_edge_min,re_edge_max,p_ratio_v2,cp_ratio_v2,fluent_position,v2_position,smoothing_help
ma6_a5_h30km,true_nose_cap,3530,165104.5919182068,401770.647516529,2.3545684555196558,401770.647516529,362423.33818512765,0.7878954774405951,0.4828489785666485,1.0,0.9263456515009781,0.0,0.0,0.0,100.0,0.0,0.0,78708.44054513845,36640.01622275355,469010.42878877005,0.02549011561607487,0.10287033354572693,below_lam,below_lam,no_fluent_below_lam
ma6_a5_h30km,leading_edge_near,5264,144555.00983029066,48787.434848550954,0.4975104505122761,30614.829141187394,139503.12466189096,5.449974423595552,1.0480824308329109,2.0466859544275597,0.369818955962296,0.19281914893617022,0.0,1.0,80.71808510638297,19.28191489361702,0.0,699248.4171645211,20070.585956843493,5214629.330990666,0.02940098020596459,0.10427684278369807,above_turb,between_lam_turb,no_already_transitional
ma6_a5_h30km,aft_body,653,65421.85643076571,100953.44345792,1.563875634211754,13482.872635579895,100953.44345792,4.865143023401406,0.6483100734239285,7.5003578248906235,1.0,1.0,1.0,1.0,0.0,100.0,0.0,6612657.844480725,3434498.1668718182,9295434.590715446,0.06266444312896945,0.09918126687244012,between_lam_turb,above_turb,yes
ma6_a5_h30km,windward_body,969,61401.95327975233,118481.35935301709,2.0208090060297774,26828.213734278805,132939.8194303688,2.5733326884582226,0.4772154104953194,4.846259697476972,0.9126250939279111,0.8844169246646026,0.0,1.0,11.55830753353973,88.44169246646027,0.0,2449917.1867518607,432880.37458225497,6197974.179428606,0.06784266824090546,0.10141847112363903,between_lam_turb,between_lam_turb,no_already_transitional
ma8_a5_h30km,true_nose_cap,3530,379888.78810365434,977615.980233019,2.4591096653345303,977615.980233019,906353.2500079966,0.7204921498658978,0.43814604719972466,1.0,0.9014989213156175,0.0,0.0,0.0,100.0,0.0,0.0,96117.71309642994,44550.32498510623,578365.1633478496,0.017296241146703237,0.10287033354572693,below_lam,below_lam,no_fluent_below_lam
ma8_a5_h30km,leading_edge_near,5264,330507.0404875627,124193.79954410646,0.6049559876856787,74584.6909491329,349467.8421047541,5.074346577400879,0.9550447192420937,2.1378267608270347,0.3761791743412698,0.20687689969604864,0.0,1.0,79.31231003039514,20.687689969604865,0.0,848006.6801660736,24403.677159499086,6299017.224292493,0.02010386298806723,0.10427684278369807,between_lam_turb,between_lam_turb,no_already_transitional
ma8_a5_h30km,aft_body,653,136581.77579828486,251884.09184200905,1.8814065927757007,32775.35166054984,251884.09184200905,4.178158895706422,0.5423410023308266,7.6982722263119925,1.0,1.0,1.0,1.0,0.0,100.0,0.0,8017159.032721483,4092821.643156161,11299326.002513781,0.04669018696397672,0.09918126687244012,between_lam_turb,above_turb,yes
ma8_a5_h30km,windward_body,969,124794.77569974201,301191.3039557068,2.548046282437446,65296.90508488861,332347.6228248684,2.155982084133843,0.38887377426658193,5.032101846465272,0.9259846115146503,0.9029927760577915,0.0,1.0,9.700722394220847,90.29927760577915,0.0,2967671.855781506,534351.8902121576,7555161.519986627,0.05204102122186793,0.10141847112363903,between_lam_turb,between_lam_turb,no_already_transitional
ma8_a10_h50km,true_nose_cap,3530,99674.48748840795,294192.32747218554,2.726327709021395,294192.32747218554,134852.94965083504,0.6082228823277069,0.7599987998107612,1.0,1.8223448857427553,0.0,0.0,0.0,100.0,0.0,0.0,1922.0963550699266,973.825472193599,10236.32114387942,0.0060860412066247194,0.18554067812332667,below_lam,below_lam,no_fluent_below_lam
ma8_a10_h50km,leading_edge_near,5264,68266.16891233664,22330.416654834044,0.36983814445744784,22330.416654834044,51539.113921054464,3.3661072816515074,1.3094362645617026,1.0,0.41067839578289184,0.0,0.0,0.0,100.0,0.0,0.0,16331.43729114295,503.3100856064237,122595.62558157719,0.008898557447922567,0.18583103932627326,above_turb,below_lam,no_fluent_above_turb
ma8_a10_h50km,aft_body,653,28462.473676370602,12112.327668526541,0.4236668482032188,9863.583713500388,37524.351401703316,2.8918755938808585,0.758358632117485,1.2386106180426488,0.3232380877958389,0.08116385911179173,0.0,1.0,91.88361408882083,8.116385911179174,0.0,148549.80827806855,85157.63765619876,213463.60516933908,0.020746743353941863,0.18001729284368756,between_lam_turb,between_lam_turb,no_already_transitional
ma8_a10_h50km,windward_body,969,32008.807124932922,19646.75080094942,0.6302089823598239,19646.75080094942,49568.879450209984,1.768029700610913,0.6551144292091811,1.0,0.38765166303272014,0.0,0.0,0.0,100.0,0.0,0.0,63506.760475731004,8902.497086807849,141304.12971393173,0.018863560799323612,0.18457337862418996,between_lam_turb,below_lam,yes
