case_id,region,count,q_fluent_mean,q_v1_mean,q_v2_mean,q_ratio_v1,q_ratio_v2,q_mae_v1,q_mae_v2,q_rmse_v1,q_rmse_v2,q_bias_v1,q_bias_v2,p_ratio_v2,cp_ratio_v2,w_tr_mean,q_lam_mean,q_turb_mean
ma6_a5_h30km,true_nose_cap,3530,165104.5919182068,540397.4669440651,401770.647516529,3.4265575285420744,2.3545684555196558,377605.25194790977,264585.81630544405,453631.28760274994,367977.10946256627,375292.8750258582,236666.05559832213,0.7205251539065023,0.6834693239100397,0.0,295499.005889313,665687.3929106565
ma6_a5_h30km,leading_edge_near,5264,144555.00983029066,173678.80954026742,48787.434848550954,1.5724425636285728,0.4975104505122761,80955.47636910602,109879.16829112526,115421.58290900728,131060.03413538233,29123.799709976778,-95767.57498173969,1.102933199370121,1.2341739246315901,0.19281914893617022,157159.6078801772,501980.76374767825
ma6_a5_h30km,aft_body,653,65421.85643076571,246568.08658948212,100953.44345792,3.818395160261212,1.563875634211754,181146.23015871638,35531.587027154324,181392.94958757274,36247.93768956912,181146.23015871638,35531.587027154324,1.4430426129010259,1.7546837437302076,1.0,25769.739667887716,246568.08658948212
ma6_a5_h30km,windward_body,969,61401.95327975233,280082.13709625596,118481.35935301709,4.757003064562304,2.0208090060297774,218694.49859742195,59727.533958790475,234043.59069500354,66334.76239065899,218680.1838165037,57079.40607326478,1.440975345137772,1.7447497925817699,0.8844169246646026,48509.45680077591,321578.80321388977
ma8_a5_h30km,true_nose_cap,3530,379888.78810365434,1340457.7125924714,977615.980233019,3.6865022596648256,2.4591096653345303,962546.8129941138,646914.7927789089,1142440.7003240832,903685.862510671,960568.9244888169,597727.1921293646,0.7132124272057069,0.6937335415686638,0.0,751691.1440295441,1792049.3000540049
ma8_a5_h30km,leading_edge_near,5264,330507.0404875627,461749.09732379497,124193.79954410646,1.9877368427708626,0.6049559876856787,229923.79368603815,258967.51798012413,341544.8767441205,310347.06626908254,131242.05683623228,-206313.2409434562,1.1909272013316783,1.3139866657573613,0.20687689969604864,400127.5562585208,1354383.782781074
ma8_a5_h30km,aft_body,653,136581.77579828486,661005.06216748,251884.09184200905,4.939145682595453,1.8814065927757007,524423.2863691951,115302.31604372422,525104.7231516853,116800.51767281118,524423.2863691951,115302.31604372422,1.6673275861879966,1.9622519741281288,1.0,65427.86417457849,661005.06216748
ma8_a5_h30km,windward_body,969,124794.77569974201,767259.1743562265,301191.3039557068,6.464043434045316,2.548046282437446,642464.3986564847,177840.58508286756,679311.4703682248,194402.37813452646,642464.3986564847,176396.52825596486,1.6733756169542828,1.9686166993943677,0.9029927760577915,123481.62649204882,865547.470015568
ma8_a10_h50km,true_nose_cap,3530,99674.48748840795,409597.08382886846,294192.32747218554,4.263293575595193,2.726327709021395,310403.6631536974,202506.95525410262,366057.8332001513,280007.69602272887,309922.59634046047,194517.83998377767,0.781458319540834,0.7699303809905698,0.0,200441.559628216,249683.93059122583
ma8_a10_h50km,leading_edge_near,5264,68266.16891233664,90114.20733884699,22330.416654834044,1.3725465814359965,0.36983814445744784,24863.889212694892,46425.774892738365,35202.44368945791,54203.085910001326,21848.038426510357,-45935.75225750258,0.9926959059475926,1.008199592510684,0.0,108620.65864387628,185438.30369358163
ma8_a10_h50km,aft_body,653,28462.473676370602,24776.6826340901,12112.327668526541,0.8680792366283357,0.4236668482032188,13452.512273096621,17490.345838062374,19636.80740439587,17911.930848375312,-3685.7910422805003,-16350.146007844058,1.2142776843856204,1.2475458615760726,0.08116385911179173,18761.09685505967,95655.60355081048
ma8_a10_h50km,windward_body,969,32008.807124932922,33284.064659976495,19646.75080094942,1.0679174474422106,0.6302089823598239,9036.545748815628,13253.357978609341,12513.657712423794,14563.923535783466,1275.2575350435752,-12362.056323983501,1.204132528093016,1.2350185991197775,0.0,33284.064659976495,121276.63236648527
