case,region,n_solver,n_fluent,n_aligned,mean_dist,median_dist,p95_dist,max_dist,mean_dx,median_dx,mean_dspan,median_dspan,dx_bias
ma6_a5_h30km,cap_mask,2,277,2,0.005261045272109997,0.005261045272109997,0.008623550071989557,0.00899716171642062,0.00016984839759812706,0.00016984839759812706,0.017522306773491994,0.017522306773491994,0.00016984839759812706
ma6_a5_h30km,true_nose_cap,8,3519,8,0.005327840863339137,0.0036816134456724202,0.010937026015316247,0.011177006631971126,0.000843509842552736,0.0007719935396394012,0.017267112139429674,0.010872219452518584,0.000843509842552736
ma6_a5_h30km,leading_edge_near,2055,5264,1700,0.00823105997330033,0.007154696846100191,0.018291376597616774,0.020880233398864814,0.007963107929681723,0.0068844822294988894,0.0043148350254736895,0.0036235202764072216,0.007963107929681723
ma6_a5_h30km,windward_body,362,815,251,0.010277840418264135,0.009816756584784132,0.019743196118566297,0.02086877167288857,0.008192407575160132,0.007199808532953655,0.012360047744634789,0.00434864749080538,0.008192407575160132
ma6_a5_h30km,aft_body,813,807,499,0.009315067545080715,0.008294276961733857,0.019541943388768468,0.020877506620766234,0.008244005430911304,0.007362167981641576,0.008824717529294394,0.005782851866943273,0.008244005430911304
ma6_a5_h30km,leeward,4000,10568,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
ma8_a5_h30km,cap_mask,2,277,2,0.005261045272109997,0.005261045272109997,0.008623550071989557,0.00899716171642062,0.00016984839759812706,0.00016984839759812706,0.017522306773491994,0.017522306773491994,0.00016984839759812706
ma8_a5_h30km,true_nose_cap,8,3519,8,0.005327840863339137,0.0036816134456724202,0.010937026015316247,0.011177006631971126,0.000843509842552736,0.0007719935396394012,0.017267112139429674,0.010872219452518584,0.000843509842552736
ma8_a5_h30km,leading_edge_near,2055,5264,1700,0.00823105997330033,0.007154696846100191,0.018291376597616774,0.020880233398864814,0.007963107929681723,0.0068844822294988894,0.0043148350254736895,0.0036235202764072216,0.007963107929681723
ma8_a5_h30km,windward_body,362,815,251,0.010277840418264135,0.009816756584784132,0.019743196118566297,0.02086877167288857,0.008192407575160132,0.007199808532953655,0.012360047744634789,0.00434864749080538,0.008192407575160132
ma8_a5_h30km,aft_body,813,807,499,0.009315067545080715,0.008294276961733857,0.019541943388768468,0.020877506620766234,0.008244005430911304,0.007362167981641576,0.008824717529294394,0.005782851866943273,0.008244005430911304
ma8_a5_h30km,leeward,4000,10568,0,nan,nan,nan,nan,nan,nan,nan,nan,nan
