x_mid,count,re_edge_mean,w_tr_mean,q_lam_mean,q_turb_mean,q_low_mean,q_fluent_mean,q_ratio_mean,p_ratio_mean
0.09894587378566666,3993,nan,0.0,285114.7125416055,656375.2671660945,495226.74995586707,161205.3807478437,3.185640931768624,2.6079801611153908
0.338015026697,1618,nan,0.05377008652657602,174290.67804233532,542418.535816315,150184.1230613718,155258.50327114956,1.331418176173814,3.7175207627586717
0.5770841796083332,1016,nan,0.2795275590551181,155691.30083291917,508132.613089955,203928.7409835716,151023.51028603344,2.2174242978124914,3.7664680076810977
0.8161533325196666,539,nan,0.4137291280148423,137343.17006407524,471976.7811635173,229748.59832176042,142664.582494026,2.4147608666017883,3.7581164062489187
1.055222485431,350,nan,0.4857142857142857,112456.38648430552,433935.4854516779,232362.59942595047,134174.00764822858,2.4856499061458517,3.809670532444943
1.294291638342333,300,nan,0.5266666666666666,94686.970825377,409099.2564919664,232562.8210249426,126849.3837439,2.59718297178172,3.896657616355287
1.5333607912536666,250,nan,0.524,122653.78700305492,427630.2567653049,219646.4704479905,119722.99987448001,2.609259071858483,3.997635723464413
1.7724299441649998,200,nan,0.58,95569.62047267526,397740.3809500273,224496.39688407592,113732.36745979998,2.82301002921595,4.109023931338909
2.0114990970763333,150,nan,0.5866666666666667,129733.80203266765,419463.6289596441,225637.26313806573,108743.2427404,2.9160894423327903,4.1402601035250575
2.2505682499876665,200,nan,0.585,77363.44524130557,352182.85995436815,209891.23361178918,103629.93010705,2.877293130587259,4.088122972582674
2.4896374028989996,150,nan,0.5933333333333334,84629.99045102592,355078.4183780995,219103.02495172893,87125.17336426668,3.0297342271051546,4.447539111374542
2.728706555810333,200,nan,0.625,63096.51985682984,328108.2022381052,207241.22718080497,80816.60989200001,2.8703606136235877,4.5971112423652665
2.9677757087216667,283,nan,0.6325088339222615,79585.1112510559,345618.8755909863,211637.64544542576,82037.21253526503,2.8547316202379136,4.650304692360958
3.206844861633,367,nan,0.659400544959128,74237.1687390698,333884.2099764141,208253.89774850916,80313.49988735694,2.8729168608433184,4.682083329419632
3.445914014544333,799,nan,0.6445556946182729,67556.35505604061,327709.35755611415,206744.92654171723,80129.98271035044,2.845375889735175,4.688412169240693
